#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	FM_TJT19_R1R2.fastq.gz_profiled	FA_TJT19_R1R2.fastq.gz_profiled	EU_TJT19_R1R2.fastq.gz_profiled
k__Bacteria	2	68.11641	1.03561	86.17581
k__Bacteria|p__Actinobacteria	2|201174	0.0173	0	9.99634
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.0173	0	9.99634
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0.0173	0	9.99634
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.0173	0	9.99634
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	2|201174|1760|85009|31957|1912216	0.0173	0	9.99634
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	2|201174|1760|85009|31957|1912216|1747	0.0173	0	9.99634
k__Bacteria|p__Firmicutes	2|1239	68.03013	0.22077	0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	68.03013	0.22077	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	68.03013	0.22077	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.05378	0.22077	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2|1239|91061|186826|33958|1578	0.05378	0.22077	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_kunkeei	2|1239|91061|186826|33958|1578|148814	0.05378	0.22077	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	67.97635	0	0
